NestID,Species,Date_found,Veg_spp,Veg_height,Nest_height,Fate,Fate_date,Fate_time,Female,Male,Def_Pairs,Lik_Pairs,Prev_Nest,Start_date
SSC41,SESP,6/28/2013,SPARALTE,1.4,1,3,6/29/2013,8:00:00,,,,PS3,SSC30,6/28/2013
SSC42,SESP,6/28/2013,SPARALTE,1.1,0.65,3,6/29/2013,,,,,,,6/28/2013
SSC43,SESP,6/28/2013,SPARALTE,1.25,0.65,5,7/17/2013,18:00:00,,,,PS13,SSC21,6/28/2013
SSC44,SESP,6/28/2013,SPARALTE,1.3,0.75,3,7/4/2013,18:00:00,,,,PS14,SSC22,6/28/2013
SSC45,SESP,6/28/2013,SPARALTE,0.7,0.5,3,7/5/2013,15:00:00,,,,,,6/28/2013
SSC46,SESP,6/28/2013,SPARALTE,1.1,0.75,3,7/13/2013,7:00:00,,,,PS16,SSC24,6/28/2013
SSC47,SESP,7/2/2013,SPARALTE,1.1,0.6,3,7/4/2013,21:00:00,,,,PS15,,7/2/2013
SSC48,SESP,7/2/2013,SPARALTE,1.35,0.85,4,7/7/2013,9:00:00,,,,PS4,SSC32,7/2/2013
SSC49,SESP,7/4/2013,SPARALTE,1.3,0.9,3,7/5/2013,,,,,,,7/4/2013
SSC5,SESP,6/7/2013,SPARALTE,1.1,0.75,1,6/19/2013,18:00:00,,,,PS4,,6/7/2013
SSC50,SESP,7/4/2013,SPARALTE,1.1,0.8,3,7/5/2013,10:00:00,,,,PS2,SSC34,7/4/2013
SSC51,SESP,7/4/2013,SPARALTE,1.2,0.7,1,7/22/2013,8:00:00,,,,PS1,SSC33,7/4/2013
SSC52,SESP,7/7/2013,SPARALTE,0.95,0.55,3,7/11/2013,8:00:00,,,,PS3,,7/7/2013
SSC53,SESP,7/13/2013,SPARALTE,1.3,0.8,3,7/16/2013,17:00:00,,,,PS2,,7/13/2013
SSC54,SESP,7/13/2013,SPARALTE,1.2,0.75,3,7/24/2013,23:00:00,,,,PS11,,7/13/2013
SSC55,SESP,7/13/2013,SPARALTE,0.8,0.3,1,7/23/2013,23:00:00,,,,,,7/13/2013
SSC6,SESP,6/11/2013,SPARALTE,1.2,0.7,1,6/17/2013,16:00:00,,,,PS5,,6/11/2013
SSC7,SESP,6/11/2013,SPARALTE,1,0.65,1,6/20/2013,18:00:00,,,,PS6,,6/11/2013
SSC8,SESP,6/11/2013,SPARALTE,1.15,0.65,3,6/12/2013,,,,,PS7,,6/11/2013
SSC9,SESP,6/11/2013,SPARALTE,1,0.6,1,6/21/2013,18:00:00,,,,PS8,,6/12/2013
SSCA1,SESP,4/14/2014,SPARALTE,0.95,0.72,5,4/17/2014,,,,,,,4/14/2014
SSCA10,SESP,6/25/2014,SPARALTE,1.07,0.9,3,6/28/2014,19:00:00,,,,2PS2,,6/25/2014
SSCA11,SESP,7/7/2014,SPARALTE,1.11,0.58,3,7/13/2014,15:00:00,,,,,,7/7/2014
SSCA12,SESP,7/7/2014,SPARALTE,1.3,0.75,3,7/10/2014,17:00:00,"BL,SI/OR,OR","GR,GR/WH,SI",2PS2,,SSCA10,7/7/2014
SSCA13,SESP,7/7/2014,SPARALTE,1.43,0.98,3,7/8/2014,,,,,2PS4,,7/7/2014
SSCA14,SESP,7/7/2014,SPARALTE,1.32,1,3,7/11/2014,16:00:00,"BL,SI/BLUE,YE",,2PS5,,,7/7/2014
SSCA2,SESP,5/9/2014,SPARALTE,1,0.65,,5/27/2014,15:00:00,"BL,SI/PI,GR",,2PS7,,,5/9/2014
SSCA3,SESP,5/22/2014,SPARALTE,1.35,0.87,3,5/31/2014,8:00:00,,,,2PS1,,5/22/2014
SSCA4,SESP,5/22/2014,SPARALTE,1.07,0.93,3,5/29/2014,23:00:00,,,,,,5/22/2014
SSCA5,SESP,5/22/2014,SPARALTE,1.25,1.07,5,6/13/2014,6:00:00,"BL,SI/BLUE,YE",,2PS5,,,5/22/2014
SSCA6,SESP,5/22/2014,SPARALTE,1.35,1.05,3,5/23/2014,,,,,2PS6,,5/22/2014
SSCA7,SESP,6/5/2014,SPARALTE,1.1,0.67,3,6/15/2014,,,,,,,6/5/2014
SSCA8,SESP,6/19/2014,SPARALTE,1.35,0.8,,,,,,,,,6/19/2014
SSCA9,SESP,6/19/2014,SPARALTE,1.53,0.86,3,6/20/2014,1:00:00,"BL,SI/PI,GR",,2PS7,,,6/19/2014
SSCE1,SESP,4/13/2014,SPARALTE,0.97,0.65,4,4/18/2014,18:00:00,,,,,,4/13/2014
SSCE10,SESP,4/26/2014,SPARALTE,1.25,0.8,5,4/30/2014,,,,,,,4/26/2014
SSCE11,SESP,4/26/2014,SPARALTE,1,0.75,3,5/1/2014,19:00:00,,,,2PS6,,4/26/2014
SSCE12,SESP,5/9/2014,SPARALTE,1.07,0.91,5,5/27/2014,15:00:00,"BL,SI/OR,OR","GR,GR/WH,SI",2PS2,,,5/9/2014
SSCE13,SESP,5/9/2014,SPARALTE,0.98,0.6,3,5/10/2014,18:00:00,"BL,SI/BL,WH","WH,PI/WH,SI",2PS3,,,5/9/2014
SSCE14,SESP,5/9/2014,SPARALTE,1.06,0.86,2,,,,,,,,
SSCE15,SESP,5/9/2014,SPARALTE,0.7,0.49,5,5/27/2014,17:00:00,"BL,SI/BL,PI","BL,YE/WH,SI",,,,5/9/2014
SSCE16,SESP,5/17/2014,SPARALTE,0.85,0.47,3,5/25/2014,3:00:00,"BL,SI/BL,WH","RE,YE/WH,SI",2PS3,,SSCE13,5/17/2014
SSCE17,SESP,5/22/2014,SPARALTE,1.07,0.79,3,5/30/2014,18:00:00,,,,,,5/22/2014
SSCE18,SESP,5/30/2014,SPARALTE,1.15,0.87,3,6/2/2014,17:00:00,"BL,SI/PI,WH",,2PS6,,,5/30/2014
SSCE19,SESP,6/5/2014,SPARALTE,1.23,0.77,3,6/7/2014,1:00:00,,,,2PS4,,6/5/2014
SSCE2,SESP,4/13/2014,SPARALTE,,,2,,,,,,,,
SSCE20,SESP,6/5/2014,SPARALTE,1.15,0.86,3,6/15/2014,13:00:00,,,,2PS1,SSCA3,6/5/2014
SSCE21,SESP,6/5/2014,SPARALTE,0.8,0.46,3,6/7/2014,,,,,,,6/5/2014
SSCE22,SESP,6/11/2014,SPARALTE,1.35,1.06,5,7/3/2014,15:00:00,"BL,SI/PI,WH",,2PS6,,,6/11/2014
SSCE23,SESP,6/11/2014,SPARALTE,1.13,0.69,5,6/12/2014,,,,,,,6/11/2014
SSCE24,SESP,6/18/2014,SPARALTE,0.95,0.68,3,6/22/2014,15:00:00,,,,2PS4,,6/18/2014
SSCE25,SESP,6/19/2014,SPARALTE,1.22,1.03,3,6/20/2014,5:00:00,,,,,,6/19/2014
SSCE26,SESP,6/25/2014,SPARALTE,1.45,1.03,3,6/26/2014,,,,,,,6/25/2014
SSCE27,SESP,7/3/2014,SPARALTE,1.5,1.01,3,7/16/2014,7:00:00,"BL,SI/PI,WH",,2PS6,,,7/3/2014
SSCE28,SESP,7/7/2014,SPARALTE,0.9,0.67,3,7/9/2014,1:00:00,,,,,,7/7/2014
SSCE29,SESP,7/7/2014,SPARALTE,1.2,0.88,3,7/21/2014,4:00:00,,,,,,7/7/2014
SSCE3,SESP,4/13/2014,SPARALTE,1.8,0.78,3,4/17/2014,7:00:00,,,,,,4/13/2014
SSCE30,SESP,7/7/2014,SPARALTE,1.05,0.85,1,7/11/2014,18:00:00,"BL,SI/PI,GR",,2PS7,,,7/7/2014
SSCE31,SESP,7/14/2014,SPARALTE,1.15,0.79,3,7/21/2014,5:00:00,,,,2PS3,,7/14/2014
SSCE32,SESP,7/23/2014,SPARALTE,1.45,1.07,,,,"BL,SI/PI,GR",,2PS7,,,7/23/2014
SSCE4,SESP,4/13/2014,SPARALTE,0.85,0.7,1,4/23/2014,16:00:00,"BL,SI/BLUE,YE",,2PS5,,,4/13/2014
SSCE5,SESP,4/13/2014,SPARALTE,1.05,0.73,,4/16/2014,18:00:00,,,,2PS6,,4/13/2014
SSCE6,SESP,4/14/2014,SPARALTE,1.25,0.87,3,4/22/2014,6:00:00,,,,,,4/14/2014
SSCE7,SESP,4/20/2014,SPARALTE,1.35,0.95,1,4/27/2014,20:00:00,"BL,SI/BL,WH","RE,YE/WH,SI",2PS3,,,4/20/2014
SSCE8,SESP,4/20/2014,SPARALTE,0.9,0.65,1,5/14/2014,21:00:00,,,,2PS4,,4/27/2014
SSCE9,SESP,4/20/2014,SPARALTE,1.05,0.89,3,5/11/2014,23:00:00,,,,,,4/24/2014
SSCF1,SESP,7/4/2013,SPARALTE,,,3,,,,,,,,
SSCF10,SESP,7/4/2013,SPARALTE,1.25,0.8,3,,,,,,,,
SSCF2,SESP,7/4/2013,SPARALTE,,,3,,,,,,,,
SSCF3,SESP,7/4/2013,SPARALTE,0.9,0.7,3,,,,,,,,
SSCF4,SESP,7/4/2013,SPARALTE,,,,,,,,,,,
SSCF5,SESP,7/4/2013,SPARALTE,0.95,0.45,,,,,,,,,
SSCF6,SESP,7/4/2013,SPARALTE,1.1,0.65,,,,,,,,,
SSCF7,SESP,7/4/2013,SPARALTE,0.95,0.55,,,,,,,,,
SSCF8,SESP,7/4/2013,SPARALTE,1.3,0.8,3,,,,,,,,
SSCF9,SESP,7/4/2013,SPARALTE,,,3,,,,,,,,
SSCT1,SESP,4/7/2015,SPARALTE,0.7,0.42,1,4/19/2015,21:00:00,"BL,SI/OR,OR","GR,GR/WH,SI",3PS1,,,4/7/2015
SSCT10,SESP,4/22/2015,SPARALTE,1.05,0.74,3,5/7/2015,,,,,3PS8,,4/22/2015
SSCT11,SESP,4/22/2015,SPARALTE,0.8,0.71,3,4/26/2015,11:00:00,"BL,SI/PI,GR",,3PS7,,SSCT8,4/22/2015
SSCT12,SESP,4/28/2015,SPARALTE,0.9,0.6,3,5/1/2015,7:00:00,,,,,,4/28/2015
SSCT13,SESP,4/28/2015,SPARALTE,0.85,0.57,3,5/9/2015,12:00:00,"BL,SI/OR,OR","GR,GR/WH,SI",3PS1,,,4/28/2015
SSCT14,SESP,4/28/2015,SPARALTE,1.05,0.85,3,4/29/2015,,,,,,,4/28/2015
SSCT15,SESP,4/28/2015,SPARALTE,1.05,0.68,3,4/29/2015,5:00:00,,,,,,4/28/2015
SSCT16,SESP,5/5/2015,SPARALTE,0.75,0.45,2,,,"BL,SI/BL,PI",,,,,
SSCT17,SESP,5/5/2015,SPARALTE,0.6,0.47,3,5/17/2015,5:00:00,"BL,SI/GR,BL",,3PS2,,,5/5/2015
SSCT18,SESP,5/5/2015,SPARALTE,0.95,0.78,3,5/16/2015,21:00:00,"BL,SI/BLUE,YE",,3PS4,,,5/8/2015
SSCT19,SESP,5/11/2015,SPARALTE,0.65,0.44,2,,,,,,,,
SSCT2,SESP,4/13/2015,SPARALTE,1.05,0.66,5,4/17/2015,16:00:00,,"WH,PI/WH,SI",3PS3,,,4/13/2015
SSCT20,SESP,5/11/2015,SPARALTE,0.9,0.47,3,5/14/2015,1:00:00,,"PI,BLUE/WH,SI",,,,5/11/2015
SSCT21,SESP,5/11/2015,SPARALTE,0.9,0.71,2,,,,,,,,
SSCT22,SESP,5/11/2015,SPARALTE,1.05,0.67,1,5/17/2015,20:00:00,"BL,SI/RE,OR","WH,WH/WH,SI",,3PS6,,5/11/2015
SSCT23,SESP,5/11/2015,SPARALTE,0.9,0.69,3,5/21/2015,20:00:00,,,,3PS8,,5/17/2015
SSCT24,SESP,5/21/2015,SPARALTE,0.7,0.48,3,5/22/2015,,,,,,,5/21/2015
SSCT25,SESP,5/26/2015,SPARALTE,0.8,0.58,3,5/30/2015,17:00:00,,"WH,PI/WH,SI",3PS3,,,5/26/2015
SSCT26,SESP,5/26/2015,SPARALTE,1.1,0.73,3,6/7/2015,17:00:00,"BL,SI/GR,BL",,3PS2,,SSCT17,5/26/2015
SSCT27,SESP,5/26/2015,SPARALTE,0.75,0.44,2,,,,,,,,
SSCT28,SESP,5/26/2015,SPARALTE,1,0.56,2,,,,,,,,
SSCT29,SESP,5/26/2015,SPARALTE,1.05,0.89,3,6/3/2015,9:00:00,,,,,,5/27/2015
SSCT3,SESP,4/13/2015,SPARALTE,1.1,0.73,2,,,,,,,,
SSCT30,SESP,5/26/2015,SPARALTE,0.55,0.36,3,5/30/2015,,"BL,SI/BLUE,YE",,3PS4,,,5/28/2015
SSCT31,SESP,5/26/2015,SPARALTE,0.75,0.5,3,5/27/2015,,,,,3PS9,,5/26/2015
SSCT32,SESP,5/26/2015,SPARALTE,0.7,0.54,3,5/28/2015,17:00:00,,,,3PS8,,5/26/2015
SSCT33,SESP,5/26/2015,SPARALTE,0.7,0.49,3,5/27/2015,17:00:00,,,,,,5/26/2015
SSCT34,SESP,5/29/2015,SPARALTE,1.25,0.82,3,6/3/2015,20:00:00,,,,3PS8,SSCT32,5/29/2015
SSCT35,SESP,6/12/2015,SPARALTE,0.9,0.58,5,6/16/2015,,,,,,,6/12/2015
SSCT36,SESP,6/12/2015,SPARALTE,1.05,0.68,2,,,"BL,SI/BLUE,YE",,,,,
SSCT37,SESP,6/12/2015,SPARALTE,1.1,0.84,2,,,,,,,,
SSCT38,SESP,6/12/2015,SPARALTE,1.3,0.98,3,6/28/2015,22:00:00,,,,,,6/12/2015
SSCT39,SESP,6/12/2015,SPARALTE,0.75,0.46,3,6/13/2015,,,,,3PS9,,6/12/2015
SSCT4,SESP,4/13/2015,SPARALTE,1.03,0.78,3,4/23/2015,6:00:00,"BL,SI/BLUE,YE",,3PS4,,,4/13/2015
SSCT40,SESP,6/18/2015,SPARALTE,0.7,0.47,3,6/19/2015,,"BL,SI/OR,OR",,3PS1,,,6/18/2015
SSCT41,SESP,6/18/2015,SPARALTE,0.95,0.64,3,7/3/2015,10:00:00,,"WH,PI/WH,SI",3PS3,,,6/18/2015
SSCT42,SESP,6/18/2015,SPARALTE,1.3,0.94,3,6/22/2015,1:00:00,"BL,SI/BLUE,YE",,3PS4,,,6/18/2015
SSCT43,SESP,6/18/2015,SPARALTE,1.05,0.84,5,7/9/2015,10:00:00,,,,,,6/18/2015
SSCT44,SESP,6/26/2015,SPARALTE,0.7,0.4,3,6/29/2015,6:00:00,"BL,SI/OR,OR","GR,GR/WH,SI",3PS1,,SSCT40,6/26/2015
SSCT45,SESP,7/1/2015,SPARALTE,0.85,0.53,3,7/11/2015,22:00:00,"BL,SI/GR,BL",,3PS2,,,7/1/2015
SSCT46,SESP,7/1/2015,SPARALTE,1.05,0.65,5,7/8/2015,7:00:00,"BL,SI/PI,GR",,3PS7,,,7/1/2015
SSCT47,SESP,7/9/2015,SPARALTE,1.1,0.94,,,,,,,3PS8,,7/9/2015
SSCT5,SESP,4/13/2015,SPARALTE,0.75,0.53,1,4/16/2015,7:00:00,"BL,SI/PI,WH",,3PS5,,,4/13/2015
SSCT6,SESP,4/13/2015,SPARALTE,0.8,0.55,1,4/18/2015,7:00:00,,,,,,4/13/2015
SSCT7,SESP,4/13/2015,SPARALTE,0.7,0.57,1,4/16/2015,19:00:00,,,,3PS6,,4/13/2015
SSCT8,SESP,4/13/2015,SPARALTE,0.9,0.72,3,4/17/2015,4:00:00,"BL,SI/PI,GR",,3PS7,,,4/13/2015
SSCT9,SESP,4/22/2015,SPARALTE,0.7,0.57,5,5/13/2015,3:00:00,"BL,SI/PI,WH",,3PS5,,SSCT5,4/22/2015
TURA1,CLRA,4/7/2014,SPARALTE,1,0.35,3,4/14/2014,21:00:00,,,,,,
TURA10,CLRA,5/14/2014,SPARALTE,0.54,0.29,,,,,,,,,
TURA11,CLRA,5/14/2014,SPARALTE,0.85,0.13,3,,,,,,,,
TURA12,CLRA,5/30/2014,SPARALTE,0.68,0.3,3,,,,,,,,
TURA13,CLRA,5/30/2014,JUNCROEM & SPARALTE,1.08,0.4,3,,,,,,,,
TURA14,CLRA,6/3/2014,SPARALTE,0.95,0.27,5,,,,,,,,
TURA15,CLRA,6/3/2014,SPARALTE,0.93,0.33,3,,,,,,,,
TURA16,CLRA,6/3/2014,SPARALTE,0.9,0.26,5,,,,,,,,
TURA17,CLRA,6/3/2014,SPARALTE,0.99,0.25,1,,,,,,,,
TURA18,CLRA,6/3/2014,SPARALTE,0.8,0.34,3,,,,,,,,
TURA19,CLRA,6/13/2014,SPARALTE,1.07,0.4,,,,,,,,,
TURA2,CLRA,4/11/2014,SPARALTE,,,3,,,,,,,,
TURA20,CLRA,6/13/2014,SPARALTE,0.96,0.13,,,,,,,,,
TURA21,CLRA,6/13/2014,SPARALTE,1.05,0.37,3,,,,,,,,
TURA22,CLRA,6/13/2014,SPARALTE,1.05,0.27,1,,,,,,,,
TURA23,CLRA,6/13/2014,SPARALTE,0.96,0.37,3,,,,,,,,
TURA24,CLRA,6/30/2014,SPARALTE,1.07,0.4,,,,,,,,,
TURA25,CLRA,6/30/2014,SPARALTE,0.82,0.43,,,,,,,,,
TURA3,CLRA,4/11/2014,SPARALTE,0.78,0.35,3,,,,,,,,
TURA4,CLRA,4/23/2014,SPARALTE,,,2,,,,,,,,
TURA5,CLRA,4/23/2014,SPARALTE,0.85,0.25,3,,,,,,,,
TURA6,CLRA,5/8/2014,SPARALTE,0.74,0.47,3,,,,,,,,
TURA7,CLRA,5/8/2014,SPARALTE,0.68,0.32,3,,,,,,,,
TURA8,CLRA,5/8/2014,SPARALTE,0.83,0.13,,,,,,,,,
TURA9,CLRA,5/14/2014,SPARALTE,0.76,0.25,3,,,,,,,,
TURE1,CLRA,4/11/2014,SPARALTE,,,1,,,,,,,,
TURE10,CLRA,6/30/2014,SPARALTE,0.68,0.29,,,,,,,,,
TURE2,CLRA,4/11/2014,SPARALTE,0.8,0.3,1,,,,,,,,
TURE4,CLRA,4/23/2014,SPARALTE,0.55,0.25,3,,,,,,,,
TURE5,CLRA,4/23/2014,SPARALTE,0.65,0.22,3,5/6/2014,22:00:00,,,,,,
TURE6,CLRA,4/23/2014,SPARALTE,1.05,0.6,,,,,,,,,
TURE7,CLRA,5/8/2014,SPARALTE,0.7,0.35,,,,,,,,,
TURE8,CLRA,5/8/2014,SPARALTE,0.85,0.32,3,,,,,,,,
TURE9,CLRA,6/3/2014,SPARALTE,0.95,0.42,3,,,,,,,,
TURK1,CLRA,5/18/2014,SPARALTE,1,0.35,3,,,,,,,,
TURK2,CLRA,5/25/2014,BORRFRUT,0.45,0.15,,,,,,,,,
TURK3,CLRA,5/30/2014,SPARALTE,0.92,0.35,3,,,,,,,,
TURK4,CLRA,5/31/2014,SPARALTE,,,1,,,,,,,,
TURK5,CLRA,6/30/2014,SPARALTE,1.05,0.7,,,,,,,,,
TURK6,CLRA,6/30/2014,SPARALTE,0.85,0.35,5,,,,,,,,
TURK7,CLRA,7/10/2014,SPARALTE,0.85,0.37,,,,,,,,,
TURK8,CLRA,7/20/2014,SPARALTE,0.6,0.25,,,,,,,,,
WIS?1,SESP,7/3/2013,SPARALTE,,,,,,,,,,,
WIS?2,SESP,7/3/2013,SPARALTE,,,,,,,,,,,
WIS1,SESP,7/3/2013,SPARALTE,1.4,0.75,,,,,,,,,
WIS2,SESP,7/3/2013,SPARALTE,1.7,0.95,3,,,,,,,,
WIS3,SESP,7/3/2013,SPARALTE,,,,,,,,,,,
WIS4,SESP,7/3/2013,SPARALTE,1.3,0.55,3,,,,,,,,
WISF1,SESP,7/3/2013,SPARALTE,1.4,0.7,3,,,,,,,,
WISF10,SESP,7/3/2013,SPARALTE,1.2,0.6,3,,,,,,,,
WISF2,SESP,7/3/2013,SPARALTE,1.5,0.65,3,,,,,,,,
WISF3,SESP,7/3/2013,SPARALTE,1.2,0.65,3,,,,,,,,
WISF4,SESP,7/3/2013,SPARALTE,1.4,0.7,3,,,,,,,,
WISF5,SESP,7/3/2013,SPARALTE,1.3,0.6,,,,,,,,,
WISF6,SESP,7/3/2013,SPARALTE,1.6,0.7,3,,,,,,,,
WISF7,SESP,7/3/2013,SPARALTE,1.3,0.65,3,,,,,,,,
WISF8,SESP,7/3/2013,SPARALTE,1.4,0.6,3,,,,,,,,
WISF9,SESP,7/3/2013,SPARALTE,1.6,0.8,3,,,,,,,,
