damage,density,temp,rainfall,windspeed,rel_humidity,location
4.4839,0.5806,19.9265,99.3000,2.7833,11.2562,west
4.0667,1.0000,19.9265,99.3000,2.7833,11.9230,west
1.0000,1.0000,19.9265,99.3000,2.7833,11.0008,west
3.2000,0.8000,19.9265,99.3000,2.7833,11.0842,west
4.3000,0.8333,19.9265,99.3000,2.7833,11.2619,west
10.0000,1.0000,19.9265,99.3000,2.7833,12.5008,west
5.7333,0.8333,19.9265,99.3000,2.7833,11.7980,west
5.0000,1.0000,19.9265,99.3000,2.7833,11.6675,west
5.0000,0.0000,19.9265,99.3000,2.7833,11.5842,west
2.1667,0.3000,19.9265,99.3000,2.7833,12.6230,west
0.0000,0.0000,19.9265,99.3000,2.7833,10.6675,west
29.1000,0.4667,19.9265,99.3000,2.7833,13.1314,west
15.5000,0.7333,20.7417,142.7000,1.9167,21.6326,South
23.3333,0.9333,20.7417,142.7000,1.9167,18.7188,South
16.3000,0.5000,20.7417,142.7000,1.9167,15.7632,South
92.0000,1.1200,20.7417,142.7000,1.9167,33.2799,South
0.0000,1.1500,20.7417,142.7000,1.9167,14.2799,South
45.1333,3.5667,20.7417,142.7000,1.9167,62.5882,South
11.6667,1.1667,20.7417,142.7000,1.9167,15.3493,North
0.0000,0.0000,20.7417,142.7000,1.9167,14.2799,North
0.0000,0.0000,20.7417,142.7000,1.9167,14.2799,North
21.0000,1.0000,20.7417,142.7000,1.9167,22.2799,North
2.3333,0.2333,20.7417,142.7000,1.9167,14.4938,North
24.1667,0.3000,20.7417,142.7000,1.9167,33.1521,North
14.0000,3.0000,20.7417,142.7000,1.9167,20.4465,North
1.2333,0.1667,20.7417,142.7000,1.9167,14.3965,North
12.2667,0.3333,20.7417,142.7000,1.9167,16.4132,North
43.1667,4.1667,20.7417,142.7000,1.9167,17.9743,North
1.9333,2.3333,20.7417,142.7000,1.9167,16.1354,North
13.0667,0.7000,20.7417,142.7000,1.9167,15.4271,North
3.3000,0.6333,20.7417,142.7000,1.9167,14.7743,North
2.8667,0.6333,20.7417,142.7000,1.9167,14.9049,North
2.2333,1.2000,20.7417,142.7000,1.9167,15.2326,North
1.6333,0.7000,20.7417,142.7000,1.9167,14.6410,North
1.9333,0.6667,20.7417,142.7000,1.9167,14.6632,North
2.6897,1.1379,20.7417,142.7000,1.9167,14.8488,North
3.3000,1.0000,20.7417,142.7000,1.9167,16.1382,North
2.8333,1.1000,20.7417,142.7000,1.9167,14.7743,North
2.4667,0.9667,20.7417,142.7000,1.9167,15.9826,North
11.1386,1.0667,20.7417,142.7000,1.9167,15.4636,North
2.9667,0.7333,20.7417,142.7000,1.9167,15.6715,South
2.6333,2.8333,20.7417,142.7000,1.9167,14.8188,South
3.2069,1.7241,20.7417,142.7000,1.9167,16.4408,South
1.0333,0.4333,20.7417,142.7000,1.9167,14.9021,South
2.0000,2.5000,20.7417,142.7000,1.9167,14.9049,South
3.5333,1.0667,20.7417,142.7000,1.9167,16.2465,South
2.6000,0.7667,20.7417,142.7000,1.9167,15.2271,South
0.9500,0.6000,20.7417,142.7000,1.9167,14.9090,South
1.3000,0.4333,20.7417,142.7000,1.9167,14.5076,South
0.7667,0.4333,20.7417,142.7000,1.9167,14.3799,South
0.9667,0.5000,20.7417,142.7000,1.9167,14.4021,South
0.8000,1.8621,20.7417,142.7000,1.9167,14.5017,South
0.6552,0.4138,20.7417,142.7000,1.9167,14.3689,South
0.9667,0.6000,20.7417,142.7000,1.9167,15.0771,South
0.9000,0.7000,20.7417,142.7000,1.9167,14.4965,South
1.2000,0.5667,20.7417,142.7000,1.9167,15.1771,South
3.2632,0.7368,20.7417,142.7000,1.9167,14.6132,South
2.1220,0.1951,20.7417,142.7000,1.9167,14.8896,South
0.2333,0.1333,19.9265,99.3000,2.7833,11.2562,West
0.1667,0.0333,19.9265,99.3000,2.7833,11.2562,West
0.4000,0.0667,19.9265,99.3000,2.7833,11.2562,West
0.0000,0.0000,19.9265,99.3000,2.7833,11.2562,West
0.0000,0.0000,19.9265,99.3000,2.7833,11.2562,West
0.4333,0.1000,19.9265,99.3000,2.7833,11.2562,West
0.0000,0.0000,19.9265,99.3000,2.7833,11.2562,West
0.3000,0.0000,19.9265,99.3000,2.7833,11.2562,West
0.5000,0.1667,19.9265,99.3000,2.7833,11.2562,West
5.4333,0.2333,19.9265,99.3000,2.7833,11.2562,West
5.0000,0.2333,19.9265,99.3000,2.7833,11.2562,West
1.8667,0.0667,19.9265,99.3000,2.7833,11.2562,West
3.2000,0.2000,19.9265,99.3000,2.7833,11.2562,West
0.4333,0.0333,19.9265,99.3000,2.7833,11.2562,West
0.7667,0.1000,19.9265,99.3000,2.7833,11.2562,West
0.0667,0.1667,19.9265,99.3000,2.7833,11.2562,West
0.2258,0.0323,19.9265,99.3000,2.7833,11.2562,West
0.0333,0.1250,19.9265,99.3000,2.7833,11.2562,West
0.2333,0.0333,19.9265,99.3000,2.7833,11.2562,West
1.2000,0.2000,19.9265,99.3000,2.7833,11.2562,West
9.8333,0.3000,19.9265,99.3000,2.7833,11.2562,West
3.3667,0.1333,19.9265,99.3000,2.7833,11.2562,West
2.2667,0.1000,19.9265,99.3000,2.7833,11.2562,West
2.5667,0.2333,19.9265,99.3000,2.7833,11.2562,West
7.4138,9.4828,19.9265,99.3000,2.7833,11.2562,West
0.0000,0.0000,19.9265,99.3000,2.7833,11.2562,West
3.5667,0.1333,19.9265,99.3000,2.7833,11.2562,West
3.7667,0.1667,19.9265,99.3000,2.7833,11.2562,West
5.2581,0.2333,19.9265,99.3000,2.7833,11.2562,West
4.4667,0.2000,19.9265,99.3000,2.7833,11.2562,West
1.7000,0.2000,19.9265,99.3000,2.7833,11.2562,West
3.7333,0.1667,19.9265,99.3000,2.7833,11.2562,West
5.0000,0.1034,19.9265,99.3000,2.7833,11.2562,West
3.6667,0.2333,19.9265,99.3000,2.7833,11.2562,West
1.7000,0.1333,19.9265,99.3000,2.7833,11.2562,West
0.5000,0.3667,19.9265,99.3000,2.7833,11.2562,West
2.1000,0.0000,20.7417,142.7000,1.9167,21.6326,South
0.2333,0.1667,20.7417,142.7000,1.9167,21.6326,South
0.1667,0.1333,20.7417,142.7000,1.9167,21.6326,South
1.4000,0.2000,20.7417,142.7000,1.9167,21.6326,South
1.4333,0.1333,20.7417,142.7000,1.9167,21.6326,South
0.9000,0.5333,20.7417,142.7000,1.9167,21.6326,South
0.3333,0.0000,20.7417,142.7000,1.9167,21.6326,South
0.0000,0.1000,20.7417,142.7000,1.9167,21.6326,South
1.3667,1.1000,20.7417,142.7000,1.9167,21.6326,South
1.9000,1.5667,20.7417,142.7000,1.9167,21.6326,South
4.1667,1.2667,20.7417,142.7000,1.9167,21.6326,South
5.8333,1.4667,21.0917,95.0273,1.9833,1.9833,East
2.8000,1.3000,21.0917,95.0273,1.9833,1.9833,East
4.9667,1.4667,21.0917,95.0273,1.9833,1.9833,East
1.9333,1.1333,21.0917,95.0273,1.9833,1.9833,East
0.7000,3.8000,21.0917,95.0273,1.9833,1.9833,East
1.0333,2.7000,21.0917,95.0273,1.9833,1.9833,East
0.7000,1.6667,21.0917,95.0273,1.9833,1.9833,East
2.4667,2.6667,21.0917,95.0273,1.9833,1.9833,East
0.8167,2.2667,21.0917,95.0273,1.9833,1.9833,East
0.2667,1.1667,21.0917,95.0273,1.9833,1.9833,East
0.1667,3.2000,21.0917,95.0273,1.9833,1.9833,East
0.8667,0.2444,21.0917,95.0273,1.9833,1.9833,East
0.5517,0.2069,20.7417,142.7000,1.9167,14.5017,South
1.7000,0.3333,20.7417,142.7000,1.9167,14.5017,South
0.9833,0.3667,20.7417,142.7000,1.9167,14.5017,South
1.0667,0.3000,20.7417,142.7000,1.9167,14.5017,South
0.6667,0.3667,20.7417,142.7000,1.9167,14.5017,South
0.7333,0.2333,20.7417,142.7000,1.9167,14.5017,South
2.1000,0.4889,20.7417,142.7000,1.9167,14.5017,South
11.0000,2.0000,20.7417,142.7000,1.9167,14.5017,South
8.0000,2.0000,20.7417,142.7000,1.9167,14.5017,South
4.2667,0.7667,20.7417,142.7000,1.9167,14.5017,South
3.8333,0.7000,20.7417,142.7000,1.9167,14.5017,South
3.8500,0.8000,20.7417,142.7000,1.9167,14.5017,South
2.4667,0.6667,20.7417,142.7000,1.9167,14.5017,South
2.5500,0.6000,20.7417,142.7000,1.9167,14.5017,South
3.1000,0.8667,20.7417,142.7000,1.9167,14.5017,North
1.6667,0.5333,20.7417,142.7000,1.9167,14.5017,North
2.0690,0.1379,20.7417,142.7000,1.9167,14.5017,North
1.0323,0.0323,20.7417,142.7000,1.9167,14.5017,North
1.1667,0.0500,20.7417,142.7000,1.9167,14.5017,North
1.6444,0.0556,20.7417,142.7000,1.9167,14.5017,North
1.0667,4.0333,20.7417,142.7000,1.9167,14.5017,North
1.3167,1.8833,20.7417,142.7000,1.9167,14.5017,North
2.0333,0.0000,20.7417,142.7000,1.9167,14.5017,North
1.3333,0.0000,20.7417,142.7000,1.9167,14.5017,North
2.1000,0.0667,20.7417,142.7000,1.9167,14.5017,North
1.8000,0.0667,20.7417,142.7000,1.9167,14.5017,North
1.7167,0.0333,20.7417,142.7000,1.9167,14.5017,North
0.4333,0.0667,20.7417,142.7000,1.9167,14.5017,North
0.2333,0.0333,20.7417,142.7000,1.9167,14.5017,North
1.0333,0.1000,20.7417,142.7000,1.9167,14.5017,North
1.3000,0.0667,20.7417,142.7000,1.9167,14.5017,North
1.0000,0.0167,20.7417,142.7000,1.9167,14.5017,North
1.2667,0.1333,20.7417,142.7000,1.9167,14.5017,North
0.5333,0.0333,20.7417,142.7000,1.9167,14.5017,North
0.7000,0.0333,20.7417,142.7000,1.9167,14.5017,North
0.5000,0.1000,20.7417,142.7000,1.9167,14.5017,North
4.5000,0.1222,20.7417,142.7000,1.9167,14.5017,South
22.1500,0.4000,20.7417,142.7000,1.9167,14.5017,South
31.1333,0.2667,20.7417,142.7000,1.9167,14.5017,South
11.4000,0.4000,20.7417,142.7000,1.9167,14.5017,South
5.6333,0.2000,20.7417,142.7000,1.9167,14.5017,South
5.2333,0.3333,20.7417,142.7000,1.9167,14.5017,South
45.8333,0.2667,20.7417,142.7000,1.9167,14.5017,South
0.1667,0.1667,20.7417,142.7000,1.9167,14.5017,South
0.1889,0.2111,19.9265,99.3000,2.7833,11.7980,West
0.0000,0.4667,19.9265,99.3000,2.7833,11.7980,West
2.3333,0.0000,19.9265,99.3000,2.7833,11.7980,West
0.0000,0.0000,19.9265,99.3000,2.7833,11.7980,West
1.5000,0.5667,19.9265,99.3000,2.7833,11.7980,West
1.9333,0.8333,19.9265,99.3000,2.7833,11.7980,West
2.8333,0.4667,19.9265,99.3000,2.7833,11.7980,West
1.8000,0.7333,19.9265,99.3000,2.7833,11.7980,West
1.0667,0.5222,19.9265,99.3000,2.7833,11.7980,West
1.9095,0.5667,19.9265,99.3000,2.7833,11.7980,West
1.3667,0.7333,19.9265,99.3000,2.7833,11.7980,West
1.5606,0.5242,19.9265,99.3000,2.7833,11.7980,West
1.6667,1.0000,19.9265,99.3000,2.7833,11.7980,West
2.6333,0.7000,19.9265,99.3000,2.7833,11.7980,West
2.1167,0.5333,19.9265,99.3000,2.7833,11.7980,West
3.4733,0.8133,19.9265,99.3000,2.7833,11.7980,West
1.7000,0.8667,19.9265,99.3000,2.7833,11.7980,West
2.4417,1.0083,19.9265,99.3000,2.7833,11.7980,West
2.5414,0.6409,19.9265,99.3000,2.7833,11.7980,West
0.5172,0.1034,21.0917,95.0273,3.7750,3.7750,East
0.8333,0.4667,21.0917,95.0273,3.7750,3.7750,East
0.4000,0.1333,21.0917,95.0273,1.9833,1.9833,East
1.2000,0.4667,21.0917,95.0273,1.9833,1.9833,East
0.4000,0.1333,21.0917,95.0273,1.9833,1.9833,East
0.9000,0.3333,21.0917,95.0273,1.9833,1.9833,East
0.8667,0.2000,21.0917,95.0273,1.9833,1.9833,East
1.5000,0.0000,21.0917,95.0273,1.9833,1.9833,East
2.8000,0.0667,21.0917,95.0273,1.9833,1.9833,East
2.5000,0.7667,21.0917,95.0273,1.9833,1.9833,East
0.9500,0.1500,21.0917,95.0273,1.9833,1.9833,East