SITE_ID,LONGITUDE,LATITUDE,LAND_USE,patch_grou,OCCURRENCE,PATCH_AREA,PATCH_GYRA,PATCH_SHAP,PLAND_SF,DIST_SEC_F,DIST_RIP_F,DIST_ROAD,PD,LPI,EDGE,AREA_WM,GYRATE_WM,SHAPE_WM,CWED,ECON_AM,CONTAG,PR,SIDI,SIEI
CH01_P,10.391776,-84.6053,mixed_use,D,1,0.111,20.4547,1.75,13.9464,29.463,0.1,8.872,1804.6632,27.864,691.2,0.0939,17.7128,1.9184,970.0065,45.6195,57.0404,5,0.7009,0.8761
CH02_P,10.390026,-84.61051,mixed_use,D,1,0.1798,16.5936,1.2958,16.8411,36.055,6.055,183.359,1403.627,36.0572,451.2,0.1133,15.2829,1.6,613.5855,44.128,54.6288,4,0.6432,0.8576
CO01_P,10.384377,-84.60317,plantation,D,1,0.4987,26.5618,1.1271,0.001,140.53,196.811,71.494,200.5181,100,0,0.4987,26.5618,1.1271,0,0,100,1,0,0
DL01_P,10.374036,-84.61618,plantation,C,1,0.4896,26.3509,1.1453,0.001,69.324,272.447,33.768,601.5544,98.1665,94.2,0.4807,25.9532,1.1634,188.8881,21.2218,96.8166,2,0.0152,0.0304
FL01_P,10.386563,-84.597021,mixed_use,B,1,0.1519,17.435,1.9923,44.6618,4.715,127.107,28.588,802.0726,40.4966,268.8,0.1598,16.8806,1.5522,344.9915,39.2522,58.2346,3,0.6459,0.9688
FL02_P,10.387527,-84.59786,mixed_use,B,1,0.2813,20.8556,1.3446,6.2441,30.263,41.58,44.95,1002.5907,56.4138,220.8,0.2235,19.6637,1.4383,344.3899,43.635,66.0991,3,0.5384,0.8076
FL03_P,10.388034,-84.60038,mixed_use,D,1,0.1693,18.071,2.2101,13.3473,4.899,0.1,77.2,1203.1088,34.1298,443.4,0.1361,17.185,1.8733,676.4479,52.2865,52.9034,5,0.7226,0.9032
FL04_P,10.386022,-84.59639,mixed_use,B,1,0.2936,23.0782,1.4033,58.8753,0.1,80.52,32.8,802.0726,58.8753,152.4,0.2549,20.9642,1.3433,171.443,25.9341,72.4753,4,0.4889,0.6519
FL05_P,10.387613,-84.59719,mixed_use,B,1,0.2871,21.6199,1.324,42.424,70.651,68.363,18.28,401.0363,57.576,112.2,0.2551,20.8348,1.3518,112.4907,20.5149,47.9312,2,0.4885,0.977
FL06_P,10.388799,-84.59757,mixed_use,B,1,0.2078,18.1128,1.2829,19.6347,6.687,2.366,31.914,802.0726,41.6588,375,0.1724,18.9424,1.8915,416.5764,34.2978,54.8681,4,0.6542,0.8723
FL07_P,10.386455,-84.59708,mixed_use,B,1,0.2069,20.9611,1.5789,41.4539,0.1,118.687,103.592,600.9904,41.4539,201,0.1836,18.7983,1.471,308.9091,44.9917,49.4791,3,0.6322,0.9483
KH01_P,10.37918,-84.60791,plantation,C,1,0.1133,20.7689,1.8319,6.6123,20.102,0.1,24.305,1804.6632,35.8334,556.2,0.1119,16.8608,1.7317,690.2837,37.2305,56.6269,6,0.6931,0.8318
KH02_P,10.378049,-84.61014,plantation,C,1,0.4987,26.5618,1.1271,0.001,54.72,78.255,297.029,200.5181,100,0,0.4987,26.5618,1.1271,0,0,100,1,0,0
SS01_P,10.382857,-84.6174,mixed_use,A,1,0.3663,23.7735,1.2129,73.4498,0.1,185.376,82.388,401.0363,73.4498,88.8,0.3042,21.7472,1.2565,89.0301,16.8648,55.9082,2,0.39,0.78
SS02_P,10.382533,-84.61638,mixed_use,A,1,0.3735,23.8498,1.1275,25.1137,3.862,179.52,3.81,401.0363,74.8863,75.6,0.3111,21.9066,1.1848,75.7959,15.1219,57.3089,2,0.3761,0.7523
SS03_P,10.382466,-84.61598,mixed_use,A,1,0.2658,21.1229,1.2151,45.1455,3.274,71.39,33.828,802.0726,53.3025,129.6,0.2434,20.399,1.2587,134.1466,22.4242,70.5945,4,0.5119,0.6826
SS04_P,10.382584,-84.618402,mixed_use,A,1,0.251,21.1625,1.4012,50.3284,0.1,27.983,30.33,1002.5907,50.3284,260.4,0.1932,18.5242,1.4215,164.2244,21.6344,66.3669,5,0.6127,0.7658
SS05_P,10.382717,-84.6156,mixed_use,A,1,0.101,13.6797,1.3585,13.8598,7.807,9.814,7.545,1804.6632,27.1999,548.4,0.0886,14.2661,1.6458,594.3358,31.9377,54.0939,7,0.7771,0.9066
CH01_A,10.391406,-84.60654,mixed_use,D,0,0.1383,19.6624,1.6532,27.7413,78.583,12.961,4.76,1203.1088,33.4873,463.8,0.121,18.0324,1.7351,574.1837,33.3004,53.432,5,0.7227,0.9034
CN01_A,10.382657,-84.613719,plantation,A,0,0.4914,26.3811,1.1368,0.001,127.766,132.589,36.354,401.0363,98.5418,44.4,0.4844,26.0911,1.1549,66.7725,10.827,95.8796,2,0.0287,0.0575
CO02_A,10.383769,-84.60287,plantation,D,0,0.3915,24.2444,1.2297,18.8623,153.534,124.372,160.565,601.5544,78.4956,133.8,0.3254,21.965,1.3165,122.1155,13.1316,70.5925,3,0.3476,0.5214
DL04_A,10.375172,-84.61582,plantation,C,0,0.3886,24.4156,1.2837,0.001,116.845,213.114,22.84,1002.5907,77.9181,211.8,0.3124,21.1749,1.3715,358.5264,48.035,70.818,4,0.3672,0.4896
FL01_A,10.388551,-84.60064,mixed_use,D,0,0.3037,21.6978,1.2663,3.9125,36.869,115.691,91.434,802.0726,60.9038,180,0.2471,20.0657,1.3318,184.0757,27.9915,60.9914,3,0.5038,0.7556
FL02_A,10.388396,-84.59804,mixed_use,B,0,0.1904,20.1346,1.7192,35.4869,2.69,120.476,25.91,802.0726,38.1722,249,0.1576,17.2036,1.4953,337.7728,41.2828,52.4528,4,0.684,0.912
KH03_A,10.376662,-84.609511,plantation,C,0,0.4987,26.5618,1.1271,0.001,66.36,137.225,337.515,200.5181,100,0,0.4987,26.5618,1.1271,0,0,100,1,0,0
