Date, Water_Level
4/1/2013 4:12,1.096
4/2/2013 5:18,1.093
4/3/2013 6:36,1.118
4/4/2013 7:24,1.287
4/5/2013 8:42,1.062
4/6/2013 22:06,1.067
4/7/2013 22:48,1.16
4/8/2013 23:36,1.141
4/9/2013 0:00,1.17
4/10/2013 0:30,1.194
4/11/2013 1:00,1.192
4/12/2013 1:42,1.263
4/13/2013 2:18,1.062
4/14/2013 2:54,1.114
4/15/2013 3:48,1.202
4/16/2013 4:18,1.119
4/17/2013 5:06,0.934
4/18/2013 6:06,0.892
4/19/2013 6:48,0.85
4/20/2013 19:30,0.598
4/21/2013 9:00,0.871
4/22/2013 22:36,1.215
4/23/2013 23:18,1.323
4/24/2013 0:00,1.35
4/25/2013 0:00,1.393
4/26/2013 0:42,1.442
4/27/2013 1:48,1.52
4/28/2013 2:36,1.501
4/29/2013 3:18,1.446
4/30/2013 4:18,1.284
5/1/2013 5:12,1.254
5/2/2013 6:42,1.389
5/3/2013 7:42,1.453
5/4/2013 21:00,1.554
5/5/2013 10:00,1.439
5/6/2013 22:36,1.262
5/7/2013 23:24,1.295
5/8/2013 0:00,1.22
5/9/2013 0:06,1.173
5/10/2013 0:30,1.189
5/11/2013 1:12,1.179
5/12/2013 1:24,1.13
5/13/2013 2:36,1.058
5/14/2013 3:06,1.105
5/15/2013 3:42,1
5/16/2013 4:30,0.716
5/17/2013 5:30,0.713
5/18/2013 6:12,0.783
5/19/2013 7:00,0.824
5/20/2013 20:42,0.902
5/21/2013 21:36,1.076
5/22/2013 22:42,1.302
5/23/2013 23:30,1.432
5/24/2013 0:00,1.47
5/25/2013 0:24,1.508
5/26/2013 1:24,1.595
5/27/2013 2:18,1.575
5/28/2013 3:12,1.502
5/29/2013 4:00,1.379
5/30/2013 5:00,1.272
5/31/2013 5:48,1.151
6/1/2013 19:24,1.044
6/2/2013 20:12,1.049
6/3/2013 21:18,1.013
6/4/2013 22:00,1.067
6/5/2013 22:42,1.187
6/6/2013 23:48,1.344
6/7/2013 0:00,0.99
6/8/2013 0:06,0.959
6/9/2013 1:00,0.96
6/10/2013 1:12,0.986
6/11/2013 2:00,0.903
6/12/2013 2:48,0.876
6/13/2013 3:12,0.931
6/14/2013 3:48,0.81
6/15/2013 4:36,1.001
6/16/2013 5:36,0.988
6/17/2013 19:24,0.95
6/18/2013 20:24,0.949
6/19/2013 21:06,1.093
6/20/2013 22:30,1.436
6/21/2013 23:12,1.638
6/22/2013 0:00,1.57
6/23/2013 0:06,1.518
6/24/2013 1:00,1.548
6/25/2013 1:54,1.508
6/26/2013 2:48,1.427
6/27/2013 3:30,1.291
6/28/2013 4:18,1.126
6/29/2013 5:36,0.908
6/30/2013 18:48,0.922
7/1/2013 19:54,0.908
7/2/2013 20:24,0.853
7/3/2013 21:30,0.928
7/4/2013 22:18,1.007
7/5/2013 22:54,1.088
7/6/2013 23:48,1.078
7/7/2013 0:00,1.09
7/8/2013 0:24,1.109
7/9/2013 1:12,1.069
7/10/2013 1:42,1.037
7/11/2013 2:18,1.045
7/12/2013 3:00,1.007
7/13/2013 3:24,1.079
7/14/2013 4:48,1.036
7/15/2013 17:48,1.079
7/16/2013 18:48,1.075
7/17/2013 20:00,1.111
7/18/2013 20:42,1.277
7/19/2013 21:42,1.322
7/20/2013 23:12,1.378
7/21/2013 23:48,1.497
7/22/2013 0:00,1.46
7/23/2013 0:54,1.441
7/24/2013 1:42,1.49
7/25/2013 2:24,1.566
7/26/2013 3:06,1.411
7/27/2013 4:00,1.337
7/28/2013 17:18,1.14
7/29/2013 18:12,1.025
7/30/2013 19:00,0.953
7/31/2013 20:00,0.994
4/1/2014 1:36,1.32
4/2/2014 2:00,1.319
4/3/2014 3:00,1.183
4/4/2014 3:42,1.083
4/5/2014 4:36,0.976
4/6/2014 17:48,0.857
4/7/2014 6:30,1.06
4/8/2014 7:06,0.994
4/9/2014 20:48,0.698
4/10/2014 21:42,0.737
4/11/2014 22:18,0.819
4/12/2014 22:42,0.947
4/13/2014 23:42,1.086
4/14/2014 0:00,1.15
4/15/2014 0:30,1.2
4/16/2014 0:42,1.014
4/17/2014 2:18,1.443
4/18/2014 3:00,1.494
4/19/2014 3:42,1.579
4/20/2014 4:24,1.395
4/21/2014 5:42,1.437
4/22/2014 6:30,1.398
4/23/2014 7:12,1.208
4/24/2014 21:06,1.298
4/25/2014 21:48,1.262
4/26/2014 22:42,1.409
4/27/2014 23:30,1.472
4/28/2014 0:00,1.5
4/29/2014 0:30,1.527
4/30/2014 1:18,1.474
5/1/2014 1:30,1.361
5/2/2014 2:30,1.282
5/3/2014 3:00,1.258
5/4/2014 3:48,1.108
5/5/2014 4:42,0.989
5/6/2014 5:36,0.953
5/7/2014 6:12,0.902
5/8/2014 7:18,0.883
5/9/2014 20:54,0.868
5/10/2014 21:36,0.97
5/11/2014 22:30,1.137
5/12/2014 23:12,1.244
5/13/2014 0:00,1.3
5/14/2014 0:00,1.354
5/15/2014 0:48,1.526
5/16/2014 1:36,1.416
5/17/2014 2:24,1.377
5/18/2014 3:06,1.327
5/19/2014 4:06,1.266
5/20/2014 5:12,1.291
5/21/2014 5:54,1.127
5/22/2014 18:36,0.944
5/23/2014 20:30,1.196
5/24/2014 21:24,1.386
5/25/2014 22:24,1.419
5/26/2014 23:18,1.338
5/27/2014 0:00,1.3
5/28/2014 0:00,1.262
5/29/2014 0:42,1.21
5/30/2014 1:24,1.274
5/31/2014 2:12,1.306
6/1/2014 3:00,1.312
6/2/2014 4:00,1.247
6/3/2014 4:12,1.09
6/4/2014 5:00,0.913
6/5/2014 5:48,0.759
6/6/2014 19:12,0.802
6/7/2014 20:18,1.107
6/8/2014 21:00,0.987
6/9/2014 21:48,1.092
6/10/2014 22:48,1.191
6/11/2014 23:30,1.332
6/12/2014 0:00,1.333
6/13/2014 0:18,1.333
6/14/2014 1:36,1.449
6/15/2014 2:06,1.467
6/16/2014 3:06,1.502
6/17/2014 3:54,1.401
6/18/2014 4:48,1.267
6/19/2014 18:24,1.08
6/20/2014 19:18,1.064
6/21/2014 20:12,1.167
6/22/2014 21:24,1.301
6/23/2014 22:12,1.434
6/24/2014 0:00,1.419
6/25/2014 0:00,1.338
6/26/2014 0:00,0.976
6/27/2014 0:00,1.262
6/28/2014 0:00,1.21
6/29/2014 0:00,1.274
6/30/2014 0:00,1.306
7/1/2014 0:00,1.312
7/2/2014 0:00,1.247
7/3/2014 0:00,1.09
7/4/2014 0:00,0.913
7/5/2014 0:00,0.759
7/6/2014 0:00,0.802
7/7/2014 0:00,0.9
7/8/2014 0:00,0.987
7/9/2014 0:00,1.092
7/10/2014 0:00,1.269
7/11/2014 0:00,1.359
7/12/2014 0:00,1.406
7/13/2014 0:00,1.397
7/14/2014 0:00,1.449
7/15/2014 15:12,1.31
7/16/2014 3:54,1.231
7/17/2014 17:06,1.232
7/18/2014 17:54,1.225
7/19/2014 19:00,1.2
7/20/2014 19:54,1.099
7/21/2014 20:48,1.162
7/22/2014 21:42,1.2
7/23/2014 22:30,1.139
7/24/2014 23:12,1.063
7/25/2014 23:42,1.203
7/26/2014 0:00,1.2
7/27/2014 0:36,1.194
7/28/2014 1:24,1.128
7/29/2014 2:00,1.011
7/30/2014 2:24,1.173
7/31/2014 3:06,1.146
4/1/2015 23:06,0.949
4/2/2015 11:42,0.993
4/3/2015 0:00,0.97
4/4/2015 0:18,0.954
4/5/2015 1:18,0.94
4/6/2015 1:48,1.087
4/7/2015 2:06,1.077
4/8/2015 3:00,0.985
4/9/2015 3:36,0.954
4/10/2015 4:24,0.931
4/11/2015 5:18,0.869
4/12/2015 6:36,1.005
4/13/2015 7:24,1.17
4/14/2015 8:30,1.095
4/15/2015 9:36,1.098
4/16/2015 23:12,1.413
4/17/2015 23:54,1.47
4/18/2015 0:00,1.5
4/19/2015 0:42,1.526
4/20/2015 1:12,1.52
4/21/2015 2:30,1.317
4/22/2015 3:18,1.286
4/23/2015 3:42,1.14
4/24/2015 4:42,1.074
4/25/2015 5:48,1.145
4/26/2015 7:00,0.936
4/27/2015 7:36,1.106
4/28/2015 21:06,1.015
4/29/2015 9:24,1.047
4/30/2015 22:36,1.086
5/1/2015 23:24,1.094
5/2/2015 0:00,1.15
5/3/2015 0:00,1.23
5/4/2015 0:42,1.288
5/5/2015 1:18,1.22
5/6/2015 2:06,1.204
5/7/2015 2:54,1.306
5/8/2015 3:42,1.416
5/9/2015 4:18,1.366
5/10/2015 5:00,1.283
5/11/2015 6:06,1.048
5/12/2015 7:00,0.978
5/13/2015 20:54,1.141
5/14/2015 21:42,1.457
5/15/2015 22:42,1.468
5/16/2015 23:36,1.491
5/17/2015 0:00,1.47
5/18/2015 0:18,1.439
5/19/2015 1:06,1.413
5/20/2015 2:06,1.312
5/21/2015 2:48,1.349
5/22/2015 3:30,1.265
5/23/2015 4:36,1.203
5/24/2015 5:24,1.12
5/25/2015 5:42,0.984
5/26/2015 6:42,0.863
5/27/2015 20:18,0.844
5/28/2015 21:12,0.886
5/29/2015 21:54,1.055
5/30/2015 22:42,1.106
5/31/2015 23:30,1.168
6/1/2015 0:00,1.2
6/2/2015 0:12,1.234
6/3/2015 0:48,1.258
6/4/2015 1:24,1.358
6/5/2015 2:12,1.394
6/6/2015 3:18,1.323
6/7/2015 4:00,1.27
6/8/2015 4:48,1.315
6/9/2015 5:54,1.073
6/10/2015 19:24,1.13
6/11/2015 20:18,1.158
6/12/2015 21:06,1.199
6/13/2015 22:18,1.156
6/14/2015 23:06,1.295
6/15/2015 0:00,1.32
6/16/2015 0:06,1.349
6/17/2015 1:00,1.301
6/18/2015 1:48,1.283
6/19/2015 2:12,1.263
6/20/2015 3:12,1.09
6/21/2015 3:48,1.053
6/22/2015 4:24,0.872
6/23/2015 5:30,0.754
6/24/2015 6:00,0.718
6/25/2015 19:36,0.724
6/26/2015 20:30,0.771
6/27/2015 21:30,0.899
6/28/2015 22:12,0.871
6/29/2015 22:48,1.108
6/30/2015 23:30,1.122
7/1/2015 0:00,1.17
7/2/2015 0:30,1.213
7/3/2015 0:30,1.157
7/4/2015 2:12,1.237
7/5/2015 2:48,1.12
7/6/2015 3:42,1.092
7/7/2015 17:00,1.079
7/8/2015 18:06,1.084
7/9/2015 19:06,1.09
7/10/2015 20:12,1.098
7/11/2015 21:12,1.224
7/12/2015 22:00,1.373
7/13/2015 23:00,1.36
7/14/2015 23:36,1.297
7/15/2015 0:00,1.24
7/16/2015 0:30,1.192
7/17/2015 1:06,1.29
7/18/2015 2:00,1.326
7/19/2015 2:30,1.239
7/20/2015 3:36,1.116
7/21/2015 4:00,0.862
7/22/2015 17:24,0.775
7/23/2015 18:06,0.938
7/24/2015 18:30,1.077
7/25/2015 19:36,1.237
7/26/2015 21:00,1.246
7/27/2015 21:30,1.299
7/28/2015 22:30,1.394
7/29/2015 23:30,1.533
7/30/2015 0:00,1.52
7/31/2015 0:18,1.518
